Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/29/2025,04/30/2025,DOMINO'S 3197,Food & Drink,Sale,-17.38,
04/26/2025,04/28/2025,TACO BELL 029268,Food & Drink,Sale,-30.00,
04/25/2025,04/27/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-46.12,
04/25/2025,04/27/2025,BAD BISCUIT,Food & Drink,Sale,-79.61,
04/26/2025,04/27/2025,BURGER KING #8633,Food & Drink,Sale,-44.35,
04/24/2025,04/27/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-16.12,
04/25/2025,04/27/2025,CIRCLE K # 21650,Gas,Sale,-11.74,
04/24/2025,04/27/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-45.04,
04/24/2025,04/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,1811.86,
04/22/2025,04/24/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-7.00,
04/23/2025,04/24/2025,LS SALTY DOG  INC.,Shopping,Sale,-118.72,
04/22/2025,04/24/2025,A Coastal Christmas,Shopping,Sale,-18.18,
04/21/2025,04/22/2025,SQ *THE TEE HUT,Shopping,Sale,-17.17,
04/20/2025,04/22/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-24.27,
04/21/2025,04/22/2025,FROZEN MOO,Groceries,Sale,-15.00,
04/20/2025,04/21/2025,CIRCLE K # 21650,Gas,Sale,-51.73,
04/19/2025,04/21/2025,PANDA EXPRESS CLT,Food & Drink,Sale,-26.50,
04/20/2025,04/21/2025,HARRIS TEETER #423,Groceries,Sale,-36.28,
04/19/2025,04/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
04/17/2025,04/18/2025,WALMART PAY,Groceries,Sale,-8.07,
04/14/2025,04/15/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
04/14/2025,04/15/2025,THE MARKET,Groceries,Sale,-24.94,
04/13/2025,04/15/2025,TACO BELL 029268,Food & Drink,Sale,-19.00,
04/13/2025,04/14/2025,STEWARTS SHOP 205,Gas,Sale,-30.55,
04/12/2025,04/13/2025,WALMART.COM,Shopping,Sale,-39.92,
04/09/2025,04/11/2025,TACO BELL 029268,Food & Drink,Sale,-12.83,
04/09/2025,04/10/2025,WALMART PAY,Groceries,Sale,-10.45,
04/09/2025,04/10/2025,Supercuts,Personal,Sale,-32.43,
04/08/2025,04/09/2025,THE CLEANIST,Personal,Sale,-23.80,
04/07/2025,04/08/2025,BOLIS PIZZA,Food & Drink,Sale,-25.96,
04/06/2025,04/08/2025,WENDYS,Food & Drink,Sale,-24.25,
04/06/2025,04/07/2025,THE MARKET,Groceries,Sale,-17.47,
04/06/2025,04/07/2025,MBTA PAY BY PHONE,Travel,Sale,-3.00,
04/06/2025,04/07/2025,MSPCA-HY,Gifts & Donations,Sale,-300.00,
04/06/2025,04/07/2025,MBTA-550013231653-2615,Travel,Sale,-2.40,
04/06/2025,04/07/2025,MBTA-550013231653-2615,Travel,Sale,-2.40,
04/05/2025,04/06/2025,WALMART PAY,Groceries,Sale,-84.49,
04/05/2025,04/06/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.35,
04/03/2025,04/06/2025,MOE'S #982,Food & Drink,Sale,-21.47,
04/03/2025,04/04/2025,BUILDIUM* BACKGROUND C,Shopping,Sale,-20.00,
04/03/2025,04/04/2025,REHOME BY ADOPT A PET,Gifts & Donations,Sale,-5.00,
04/01/2025,04/03/2025,WENDYS,Food & Drink,Sale,-34.84,
04/02/2025,04/03/2025,AMAZON MKTPL*SJ5HF0XO3,Shopping,Sale,-14.86,
04/01/2025,04/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
