Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2024,12/31/2024,CHIPOTLE 3299,Food & Drink,Sale,-44.30,
12/30/2024,12/31/2024,SUNOCO 8002068401,Gas,Sale,-15.79,
12/28/2024,12/30/2024,SCENE ONE WILTON MALL CIN,Entertainment,Sale,-30.00,
12/28/2024,12/29/2024,SQ *HATTIES WILTON,Food & Drink,Sale,-110.70,
12/24/2024,12/26/2024,STEWARTS SHOP 205,Gas,Sale,-33.49,
12/25/2024,12/26/2024,REG CLIFTON PARK  1769,Entertainment,Sale,-26.18,
12/24/2024,12/24/2024,AUTOMATIC PAYMENT - THANK,,Payment,1614.19,
12/23/2024,12/24/2024,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
12/22/2024,12/23/2024,WALGREENS #12690,Health & Wellness,Sale,-1.67,
12/21/2024,12/22/2024,EXXON ENERGY NORTH INC,Gas,Sale,-32.08,
12/19/2024,12/20/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
12/17/2024,12/18/2024,THE MARKET,Groceries,Sale,-2.84,
12/17/2024,12/18/2024,TST*MAMMA MIAS PINE HIL,Food & Drink,Sale,-17.93,
12/13/2024,12/13/2024,UNCOMMONGOODS,Shopping,Sale,-23.49,
12/12/2024,12/13/2024,Etsy.com - Multiple Shop,Shopping,Sale,-61.82,
12/08/2024,12/10/2024,WENDYS,Food & Drink,Sale,-27.25,
12/07/2024,12/09/2024,MOE'S #982,Food & Drink,Sale,-15.80,
12/07/2024,12/08/2024,Supercuts,Health & Wellness,Sale,-31.14,
12/05/2024,12/08/2024,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-12.82,
12/07/2024,12/08/2024,SP EMBER-US,Shopping,Sale,-24.38,
12/05/2024,12/06/2024,CHIPOTLE 3299,Food & Drink,Sale,-12.73,
12/02/2024,12/04/2024,TACO BELL 029268,Food & Drink,Sale,-32.06,
12/01/2024,12/02/2024,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
11/30/2024,12/01/2024,SUNOCO 0989179700,Gas,Sale,-28.89,
11/30/2024,12/01/2024,SUNOCO 0989179700,Gas,Sale,-13.92,
11/29/2024,12/01/2024,POPEYES #13508,Food & Drink,Sale,-31.21,
