Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/27/2025,02/28/2025,CHIPOTLE 3299,Food & Drink,Sale,-44.83,
02/25/2025,02/26/2025,CHIPOTLE 3299,Food & Drink,Sale,-3.69,
02/25/2025,02/26/2025,CHIPOTLE 3299,Food & Drink,Sale,-14.82,
02/25/2025,02/26/2025,EXXON ENERGY NORTH INC,Gas,Sale,-20.00,
02/24/2025,02/25/2025,AMERICAN AIR0012217485755,Travel,Sale,-46.01,
02/24/2025,02/25/2025,DELTA AIR   0062309707436,Travel,Sale,-213.49,
02/24/2025,02/25/2025,AMERICAN AIR0012217486853,Travel,Sale,-215.49,
02/24/2025,02/25/2025,AMERICAN AIR0010620668309,Travel,Sale,-9.68,
02/24/2025,02/25/2025,AMERICAN AIR0010620668310,Travel,Sale,-10.21,
02/24/2025,02/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,873.68,
02/23/2025,02/24/2025,Subway 49722,Food & Drink,Sale,-25.74,
02/21/2025,02/23/2025,CHIPOTLE 3299,Food & Drink,Sale,-18.51,
02/23/2025,02/23/2025,LinkedInPre *61096533,Bills & Utilities,Sale,-254.87,
02/21/2025,02/23/2025,Supercuts,Health & Wellness,Sale,-31.14,
02/18/2025,02/20/2025,TACO BELL #26351,Food & Drink,Sale,-21.44,
02/19/2025,02/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
02/19/2025,02/20/2025,SUNOCO 0989179700,Gas,Sale,-33.76,
02/17/2025,02/19/2025,IHOP 3165,Food & Drink,Sale,-68.82,
02/17/2025,02/18/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
02/15/2025,02/16/2025,EXXON ENERGY NORTH INC,Gas,Sale,-26.16,
02/13/2025,02/14/2025,CHIPOTLE 3299,Food & Drink,Sale,-24.50,
02/11/2025,02/13/2025,TACO BELL 029268,Food & Drink,Sale,-15.48,
02/12/2025,02/13/2025,THE MARKET,Groceries,Sale,-13.40,
02/11/2025,02/12/2025,WALMART PAY,Groceries,Sale,-10.59,
02/11/2025,02/12/2025,THE MARKET,Groceries,Sale,-15.07,
02/11/2025,02/12/2025,EXXON ENERGY NORTH INC,Gas,Sale,-29.69,
02/08/2025,02/10/2025,LONG POND PIZZA FACTORY,Food & Drink,Sale,-36.94,
02/07/2025,02/09/2025,PAPIER INC,Shopping,Sale,-45.19,
02/01/2025,02/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
01/31/2025,02/02/2025,CHIPOTLE 3299,Food & Drink,Sale,-35.58,
01/30/2025,02/02/2025,DELTA AIR   0062302472937,Travel,Sale,-173.49,
02/01/2025,02/02/2025,THE MARKET,Groceries,Sale,-22.76,
