Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/31/2025,01/31/2025,AMERICAN AIR0012210799249,Travel,Sale,-268.48,
01/31/2025,01/31/2025,AMERICAN AIR0010619033911,Travel,Sale,-12.64,
01/27/2025,01/29/2025,Supercuts,Health & Wellness,Sale,-32.43,
01/27/2025,01/29/2025,MOE'S #982,Food & Drink,Sale,-15.91,
01/26/2025,01/28/2025,TST*MAMMA MIAS PINE HIL,Food & Drink,Sale,-48.94,
01/26/2025,01/28/2025,THE MARKET,Groceries,Sale,-5.58,
01/24/2025,01/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,612.44,
01/20/2025,01/21/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
01/19/2025,01/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
01/17/2025,01/19/2025,DOMINO'S 3197,Food & Drink,Sale,-24.42,
01/14/2025,01/16/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-12.82,
01/14/2025,01/15/2025,CHIPOTLE 3299,Food & Drink,Sale,-37.50,
01/13/2025,01/14/2025,AMAZON MKTPL*Z51E04LS0,Shopping,Sale,-9.35,
01/10/2025,01/12/2025,THE MARKET,Groceries,Sale,-3.04,
01/10/2025,01/12/2025,LONG POND PIZZA FACTORY,Food & Drink,Sale,-8.69,
01/11/2025,01/12/2025,THE MARKET,Groceries,Sale,-32.25,
01/10/2025,01/12/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.71,
01/08/2025,01/09/2025,CHIPOTLE 3299,Food & Drink,Sale,-48.58,
01/06/2025,01/08/2025,TACO BELL 029268,Food & Drink,Sale,-19.87,
01/06/2025,01/07/2025,WAL-MART #2336,Groceries,Sale,-20.93,
01/04/2025,01/06/2025,MOE'S #982,Food & Drink,Sale,-19.96,
01/01/2025,01/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
12/31/2024,01/01/2025,HONDA PLYMOUTH,Automotive,Sale,-35.00,
12/31/2024,01/01/2025,WAL-MART #2336,Groceries,Sale,-127.18,
12/31/2024,01/01/2025,TST*TAVERN ON THE WHARF,Food & Drink,Sale,-55.36,
01/01/2025,01/01/2025,BOOKOFMONTH *6-MO GIFT,Shopping,Sale,-106.24,
