Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/30/2025,07/31/2025,HANNAFORD #8267,Groceries,Sale,-36.54,
07/30/2025,07/31/2025,KFC D136007,Food & Drink,Sale,-24.75,
07/27/2025,07/29/2025,THE HOME DEPOT #1223,Home,Sale,-30.99,
07/28/2025,07/29/2025,CHIPOTLE 1386,Food & Drink,Sale,-6.31,
07/28/2025,07/29/2025,CHIPOTLE 1386,Food & Drink,Sale,-20.65,
07/28/2025,07/29/2025,Supercuts Clifton Park,Personal,Sale,-33.00,
07/28/2025,07/29/2025,STEWARTS SHOP 315,Gas,Sale,-9.61,
07/24/2025,07/25/2025,WALGREENS #19882,Health & Wellness,Sale,-6.99,
07/24/2025,07/25/2025,AMAZON MKTPL*T74T64C63,Shopping,Sale,-55.45,
07/24/2025,07/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,3134.22,
07/23/2025,07/24/2025,STEWARTS SHOP 315,Gas,Sale,-30.01,
07/22/2025,07/24/2025,AC HOTEL VIEUX-MONTREA,Travel,Sale,-95.73,
07/21/2025,07/23/2025,A&amp;W #5265,Food & Drink,Sale,-2.52,
07/21/2025,07/23/2025,A&amp;W #5265,Food & Drink,Sale,-2.51,
07/22/2025,07/23/2025,BUSTERS CAR WASH,Automotive,Sale,-21.40,
07/21/2025,07/23/2025,ESCONDITE VIEUX-PORT,Food & Drink,Sale,-53.78,
07/21/2025,07/23/2025,STM PLACE D ARME DIE10,Travel,Sale,-2.74,
07/21/2025,07/23/2025,STM PLACE D ARME DIE10,Travel,Sale,-2.74,
07/21/2025,07/22/2025,BIXI MONTREAL,Travel,Sale,-3.02,
07/20/2025,07/22/2025,STM PLACE D ARME DIE10,Travel,Sale,-5.11,
07/21/2025,07/22/2025,SQ *ECORECREO,Entertainment,Sale,-40.29,
07/21/2025,07/22/2025,Subway 19948,Food & Drink,Sale,-14.59,
07/21/2025,07/22/2025,UBER* TRIP,Travel,Sale,-10.04,
07/20/2025,07/22/2025,A&amp;W #5265,Food & Drink,Sale,-29.10,
07/20/2025,07/21/2025,SOUVENIR NEIL,Shopping,Sale,-10.91,
07/20/2025,07/21/2025,COCA COLA MONTREAL QC,Food & Drink,Sale,-3.29,
07/20/2025,07/21/2025,BIXI MONTREAL,Travel,Sale,-1.26,
07/20/2025,07/21/2025,BASHA NDG,Food & Drink,Sale,-20.04,
07/19/2025,07/21/2025,MCDONALD'S #7008,Food & Drink,Sale,-8.22,
07/19/2025,07/21/2025,BRASS701 KYO PLACE D'A,Food & Drink,Sale,-96.64,
07/19/2025,07/21/2025,MCDONALD'S #7008,Food & Drink,Sale,-2.17,
07/19/2025,07/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
07/18/2025,07/20/2025,MCDONALD'S #7008,Food & Drink,Sale,-2.17,
07/19/2025,07/20/2025,YUMI BURGER VIEUX-PORT,Food & Drink,Sale,-30.22,
07/19/2025,07/20/2025,CAFE DES ARTS/GALERIE MA,Groceries,Sale,-14.70,
07/18/2025,07/20/2025,RESTAURANT BEVO,Food & Drink,Sale,-55.59,
07/18/2025,07/20/2025,STEWARTS SHOP 315,Gas,Sale,-7.68,
07/18/2025,07/20/2025,CREMERIE DU VIEUX,Food & Drink,Sale,-9.24,
07/16/2025,07/18/2025,THE HOME DEPOT #1223,Home,Sale,-17.27,
07/17/2025,07/18/2025,SP SECRETLABUS,Home,Sale,-162.54,
07/16/2025,07/18/2025,SUNOCO 0509424800,Gas,Sale,-33.49,
07/16/2025,07/17/2025,SP SECRETLABUS,Home,Sale,-161.21,
07/15/2025,07/16/2025,DOMINO'S 3424,Food & Drink,Sale,-24.24,
07/13/2025,07/14/2025,KFC D136007,Food & Drink,Sale,-21.38,
07/10/2025,07/13/2025,FIVE GUYS NY1922 QSR,Food & Drink,Sale,-38.04,
07/12/2025,07/13/2025,STEWARTS SHOP 315,Gas,Sale,-9.61,
07/10/2025,07/11/2025,SQ *NIGHT WORK BREAD,Food & Drink,Sale,-20.90,
07/09/2025,07/11/2025,U-HAULGELLARS SVC STATION,Shopping,Sale,-5.05,
07/09/2025,07/10/2025,Amazon.com*NL3502XD1,Shopping,Sale,-50.28,
07/08/2025,07/09/2025,WM SUPERCENTER #2844,Groceries,Sale,-14.68,
07/08/2025,07/09/2025,POPEYES #13840,Food & Drink,Sale,-26.60,
07/07/2025,07/09/2025,TACO BELL 042193,Food & Drink,Sale,-13.00,
07/07/2025,07/09/2025,U-HAUL MOVING &amp; STORAGE O,Automotive,Sale,-57.41,
07/07/2025,07/08/2025,COFFEE PLANET INC,Food & Drink,Sale,-23.02,
07/07/2025,07/08/2025,NYTIMES*,Bills & Utilities,Sale,-25.00,
07/05/2025,07/06/2025,ALLERDICE ACE HDWR-MALTA,Home,Sale,-9.11,
07/06/2025,07/06/2025,FEVER* LA GRANDE ROUE,Entertainment,Sale,-47.46,
07/06/2025,07/06/2025,FEVER* LEXPRIENCE AURA,Entertainment,Sale,-54.56,
07/02/2025,07/04/2025,AMAZON MKTPL*N352F8EN0,Shopping,Sale,-16.04,
07/03/2025,07/04/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.39,
07/02/2025,07/04/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.66,
07/02/2025,07/03/2025,WL *Steam Purchase,Entertainment,Sale,-11.68,
07/02/2025,07/03/2025,STEWARTS SHOP 315,Gas,Sale,-9.61,
07/02/2025,07/03/2025,TEXAS ROADHOUSE #2429,Food & Drink,Sale,-78.54,
07/01/2025,07/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
07/01/2025,07/02/2025,SUNOCO 0989179700,Gas,Sale,-29.79,
07/01/2025,07/02/2025,MCDONALD'S F10443,Food & Drink,Sale,-1.49,
07/01/2025,07/02/2025,KFC D136007,Food & Drink,Sale,-22.01,
06/30/2025,07/01/2025,AMAZON MKTPL*NQ0RT8W61,Shopping,Sale,-21.66,
06/30/2025,07/01/2025,AMAZON MKTPL*N35503MI2,Shopping,Sale,-28.66,
06/30/2025,07/01/2025,FIVE GUYS NY1922 QSR,Food & Drink,Sale,-28.84,
