Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/29/2025,06/30/2025,E-ZPass MA,Travel,Sale,-50.00,
06/28/2025,06/29/2025,EXXON DOMINION GAS AND,Gas,Sale,-32.21,
06/28/2025,06/29/2025,CVS/PHARMACY #00244,Health & Wellness,Sale,-10.29,
06/27/2025,06/29/2025,SUNOCO 0275942100,Gas,Sale,-24.51,
06/27/2025,06/29/2025,POPEYES 3400317,Food & Drink,Sale,-18.63,
06/26/2025,06/27/2025,AMAZON MKTPL*NQ9U940J1,Shopping,Sale,-26.74,
06/26/2025,06/27/2025,Supercuts Clifton Park,Personal,Sale,-33.00,
06/26/2025,06/27/2025,CHIPOTLE 1386,Food & Drink,Sale,-14.98,
06/25/2025,06/26/2025,KFC D136007,Food & Drink,Sale,-14.97,
06/25/2025,06/26/2025,HANNAFORD #8267,Groceries,Sale,-53.20,
06/23/2025,06/25/2025,MOVINGHELP.COM,Home,Sale,-356.95,
06/24/2025,06/25/2025,CHIPOTLE 1386,Food & Drink,Sale,-26.22,
06/24/2025,06/25/2025,AMAZON MKTPL*NQ2EH7M92,Shopping,Sale,-28.66,
06/24/2025,06/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,1162.71,
06/22/2025,06/24/2025,U-HAULGELLARS SVC STATION,Automotive,Sale,-408.94,
06/23/2025,06/24/2025,ENERGY NORTH INCORPORATE,Gas,Sale,-23.31,
06/23/2025,06/24/2025,STEWARTS SHOP 315,Gas,Sale,-26.50,
06/22/2025,06/24/2025,TST*TAVERN ON THE WHARF,Food & Drink,Sale,-189.78,
06/22/2025,06/23/2025,WM SUPERCENTER #2336,Groceries,Sale,-10.07,
06/21/2025,06/22/2025,THE MARKET,Groceries,Sale,-26.76,
06/20/2025,06/22/2025,THE MARKET,Groceries,Sale,-12.58,
06/20/2025,06/22/2025,CHIPOTLE 3299,Food & Drink,Sale,-23.65,
06/18/2025,06/20/2025,TACO BELL 029268,Food & Drink,Sale,-14.10,
06/19/2025,06/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
06/18/2025,06/19/2025,SUNOCO 0989179700,Gas,Sale,-4.91,
06/18/2025,06/19/2025,SUNOCO 0989179700,Gas,Sale,-20.56,
06/15/2025,06/16/2025,PLYMOUTH CITGO,Gas,Sale,-28.09,
06/13/2025,06/15/2025,THE MARKET,Groceries,Sale,-18.97,
06/13/2025,06/15/2025,1-800-GOT-JUNK,Bills & Utilities,Sale,-602.80,
06/12/2025,06/13/2025,KOHL'S #0664,Shopping,Sale,-35.99,
06/11/2025,06/12/2025,MCDONALD'S F5408,Food & Drink,Sale,-17.95,
06/10/2025,06/11/2025,NEW YORK CENTRAL MUTUAL,Bills & Utilities,Sale,-40.00,
06/10/2025,06/11/2025,THE MARKET,Groceries,Sale,-16.83,
06/10/2025,06/11/2025,NEW YORK CENTRAL MUTUAL,Bills & Utilities,Sale,-100.00,
06/10/2025,06/11/2025,NEW YORK CENTRAL MUTUAL,Bills & Utilities,Sale,-550.00,
06/09/2025,06/10/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
06/08/2025,06/10/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-45.40,
06/08/2025,06/09/2025,WALMART PAY,Groceries,Sale,-51.78,
06/06/2025,06/08/2025,THE MARKET,Groceries,Sale,-8.93,
06/04/2025,06/06/2025,TACO BELL 029268,Food & Drink,Sale,-14.10,
06/04/2025,06/05/2025,SUNOCO 0989179700,Gas,Sale,-8.97,
06/04/2025,06/05/2025,SUNOCO 0989179700,Gas,Sale,-17.92,
06/02/2025,06/03/2025,DUNKIN #336505 Q35,Food & Drink,Sale,-3.52,
06/02/2025,06/03/2025,EXXON ENERGY NORTH INC,Gas,Sale,-26.47,
06/01/2025,06/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
05/31/2025,06/02/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-6.62,
06/01/2025,06/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
05/30/2025,06/01/2025,THE MARKET,Groceries,Sale,-19.31,
05/29/2025,06/01/2025,TACO BELL 029268,Food & Drink,Sale,-19.98,
05/31/2025,06/01/2025,CHIPOTLE 3299,Food & Drink,Sale,-25.15,
