Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/30/2025,03/31/2025,POPEYES #12622,Food & Drink,Sale,-29.39,
03/28/2025,03/30/2025,EXXON ENERGY NORTH INC,Gas,Sale,-15.35,
03/29/2025,03/30/2025,THE MARKET,Groceries,Sale,-10.76,
03/29/2025,03/30/2025,CHIPOTLE 3299,Food & Drink,Sale,-24.61,
03/28/2025,03/30/2025,CHIPOTLE 3299,Food & Drink,Sale,-18.51,
03/26/2025,03/27/2025,THE MARKET,Groceries,Sale,-13.07,
03/26/2025,03/26/2025,Too Good To Go Inc.,Food & Drink,Sale,-5.34,
03/24/2025,03/24/2025,AUTOMATIC PAYMENT - THANK,,Payment,1901.49,
03/23/2025,03/24/2025,CHIPOTLE 3299,Food & Drink,Sale,-30.60,
03/22/2025,03/23/2025,WALMART PAY,Groceries,Sale,-155.00,
03/22/2025,03/23/2025,OLD NAVY US 5309,Shopping,Sale,-30.00,
03/21/2025,03/23/2025,TACO BELL 029268,Food & Drink,Sale,-22.56,
03/21/2025,03/23/2025,COLLEGE TRANSCRIPT,Personal,Sale,-10.00,
03/19/2025,03/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
03/18/2025,03/19/2025,CHIPOTLE 3299,Food & Drink,Sale,-17.82,
03/17/2025,03/18/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
03/14/2025,03/16/2025,THE MARKET,Groceries,Sale,-25.55,
03/14/2025,03/16/2025,SUJIS KITCHEN,Food & Drink,Sale,-49.47,
03/11/2025,03/13/2025,WENDYS,Food & Drink,Sale,-38.47,
03/12/2025,03/12/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-53.11,
03/10/2025,03/11/2025,THE MARKET,Groceries,Sale,-10.47,
03/07/2025,03/09/2025,UBER   *TRIP,Travel,Sale,-26.92,
03/07/2025,03/09/2025,NEWSLINK STORE L11,Shopping,Sale,-16.29,
03/06/2025,03/09/2025,TST*F1 ARCADE - BOSTON,Food & Drink,Sale,-78.75,
03/07/2025,03/09/2025,THE KNOT REGISTRY,Shopping,Sale,-102.50,
03/05/2025,03/07/2025,TACO BELL 029268,Food & Drink,Sale,-23.00,
03/06/2025,03/07/2025,MBTA-550013231653-2615,Travel,Sale,-2.40,
03/05/2025,03/06/2025,EXXON ENERGY NORTH INC,Gas,Sale,-31.93,
03/03/2025,03/05/2025,THE HOME DEPOT #2680,Home,Sale,-15.40,
03/03/2025,03/04/2025,TST*THE GYRO CO,Food & Drink,Sale,-15.94,
03/03/2025,03/04/2025,PLYMOUTH MA EXCISE TAX,Bills & Utilities,Sale,-812.81,
03/03/2025,03/04/2025,WAL-MART #2336,Groceries,Sale,-36.32,
03/03/2025,03/03/2025,ICI*FEEPLYMOUTHMA,Bills & Utilities,Sale,-23.98,
03/01/2025,03/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
02/28/2025,03/02/2025,DOMINO'S 3197,Food & Drink,Sale,-25.52,
02/27/2025,03/02/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-12.82,
