Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/28/2025,05/30/2025,WENDYS,Food & Drink,Sale,-26.62,
05/26/2025,05/27/2025,THE MARKET,Groceries,Sale,-37.36,
05/25/2025,05/26/2025,REG INDEPENDENCE  1717,Entertainment,Sale,-43.83,
05/23/2025,05/25/2025,THE MARKET,Groceries,Sale,-27.65,
05/24/2025,05/25/2025,REGAL CINEMAS INC,Entertainment,Sale,-30.98,
05/23/2025,05/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,1525.92,
05/21/2025,05/23/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-6.62,
05/22/2025,05/23/2025,E-ZPass MA,Travel,Sale,-50.00,
05/21/2025,05/22/2025,CHIPOTLE 3299,Food & Drink,Sale,-18.19,
05/20/2025,05/21/2025,THE MARKET,Groceries,Sale,-14.70,
05/20/2025,05/21/2025,Stuzzi,Food & Drink,Sale,-13.91,
05/19/2025,05/20/2025,THE MARKET,Groceries,Sale,-36.83,
05/19/2025,05/20/2025,Spotify USA,Bills & Utilities,Sale,-16.99,
05/18/2025,05/20/2025,WENDYS,Food & Drink,Sale,-26.62,
05/18/2025,05/19/2025,STEWARTS SHOP 205,Gas,Sale,-22.05,
05/18/2025,05/19/2025,STEWARTS SHOP 205,Gas,Sale,-22.66,
05/17/2025,05/18/2025,SQ *ARTS &amp; GLASS,Shopping,Sale,-83.46,
05/15/2025,05/16/2025,WL *Steam Purchase,Entertainment,Sale,-14.33,
05/14/2025,05/15/2025,Stuzzi,Food & Drink,Sale,-27.83,
05/13/2025,05/15/2025,TST*EASTBAY GRILLE,Food & Drink,Sale,-175.87,
05/13/2025,05/14/2025,SPEEDWAY 02477,Gas,Sale,-32.67,
05/13/2025,05/14/2025,THE MARKET,Groceries,Sale,-17.81,
05/13/2025,05/14/2025,WALMART PAY,Groceries,Sale,-10.70,
05/12/2025,05/13/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.00,
05/12/2025,05/13/2025,AMAZON MKTPL*NW9ZS0882,Shopping,Sale,-16.99,
05/11/2025,05/12/2025,THE YELLOW DELI PLYMOUTH,Food & Drink,Sale,-5.89,
05/11/2025,05/12/2025,WALMART PAY,Groceries,Sale,-50.49,
05/10/2025,05/11/2025,CHIPOTLE 3299,Food & Drink,Sale,-37.99,
05/10/2025,05/11/2025,Supercuts,Personal,Sale,-31.14,
05/09/2025,05/11/2025,THE MARKET,Groceries,Sale,-16.74,
05/04/2025,05/06/2025,U-HAUL WEB TEAM ASSOC INC,Shopping,Sale,-101.98,
05/03/2025,05/04/2025,CHIPOTLE 3299,Food & Drink,Sale,-40.39,
05/01/2025,05/02/2025,THE MARKET,Groceries,Sale,-18.66,
05/01/2025,05/02/2025,IN *GET WIRELESS  INC.,Bills & Utilities,Sale,-60.00,
