Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/28/2025,04/30/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-3.00,
04/28/2025,04/29/2025,EXXON ENERGY NORTH INC,Gas,Sale,-27.66,
04/27/2025,04/28/2025,The Paper Store 0072,Shopping,Sale,-43.02,
04/26/2025,04/28/2025,TAILWIND HHH,Food & Drink,Sale,-8.22,
04/27/2025,04/28/2025,CHIPOTLE 3299,Food & Drink,Sale,-44.14,
04/27/2025,04/28/2025,WAL-MART #2336,Groceries,Sale,-79.82,
04/24/2025,04/27/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-20.59,
04/26/2025,04/27/2025,UBER   *TRIP,Travel,Sale,-4.49,
04/26/2025,04/27/2025,UBER   *TRIP,Travel,Sale,-29.97,
04/24/2025,04/27/2025,COASTAL TREASURES,Shopping,Sale,-44.47,
04/26/2025,04/27/2025,LS QUEEN CITY MARKET,Shopping,Sale,-4.17,
04/22/2025,04/24/2025,MARRIOTT POS GRANDE OC,Travel,Sale,-21.20,
04/22/2025,04/23/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,
04/22/2025,04/23/2025,Francescas,Shopping,Sale,-29.68,
04/19/2025,04/21/2025,La Madeleine,Food & Drink,Sale,-16.53,
04/19/2025,04/20/2025,CVS/PHARMACY #02138,Health & Wellness,Sale,-10.61,
04/17/2025,04/20/2025,WENDYS,Food & Drink,Sale,-26.62,
04/19/2025,04/20/2025,DUNKIN #345396,Food & Drink,Sale,-18.58,
04/19/2025,04/20/2025,CVS/PHARMACY #02138,Health & Wellness,Sale,-23.76,
04/19/2025,04/20/2025,CLT THE TODAY SHOW,Shopping,Sale,-8.84,
04/17/2025,04/20/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-3.00,
04/18/2025,04/20/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
04/18/2025,04/20/2025,KOHL'S #0664,Shopping,Sale,-41.44,
04/19/2025,04/20/2025,PANERA BREAD #203557 O,Food & Drink,Sale,-24.00,
04/16/2025,04/18/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
04/17/2025,04/18/2025,EXXON ENERGY NORTH INC,Gas,Sale,-26.28,
04/15/2025,04/17/2025,DSW VILLAGE AT COLONY PLA,Shopping,Sale,-45.99,
04/16/2025,04/17/2025,NORA FLEMIN,Shopping,Sale,-162.05,
04/16/2025,04/17/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-4.75,
04/15/2025,04/16/2025,WAL-MART #2336,Groceries,Sale,-31.33,
04/15/2025,04/16/2025,OLD NAVY US 5309,Shopping,Sale,-74.98,
04/15/2025,04/15/2025,Payment Thank You-Mobile,,Payment,1967.74,
04/14/2025,04/15/2025,WAL-MART #2336,Groceries,Sale,-20.16,
04/14/2025,04/15/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
04/14/2025,04/15/2025,SP ALLIE ROSE CO.,Shopping,Sale,-31.00,
04/14/2025,04/14/2025,PANERA BREAD #202101 O,Food & Drink,Sale,-20.72,
04/12/2025,04/14/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-17.00,
04/13/2025,04/14/2025,STEWARTS SHOP 205,Gas,Sale,-13.73,
04/11/2025,04/13/2025,WAL-MART #2336,Groceries,Sale,-30.79,
04/09/2025,04/11/2025,HOLLISTER CO.,Shopping,Sale,-119.85,
04/09/2025,04/11/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-8.00,
04/10/2025,04/11/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.90,
04/09/2025,04/10/2025,American Eagle Outfitters,Shopping,Return,20.00,
04/06/2025,04/08/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
04/07/2025,04/08/2025,LAZ PARKING L05222LAZGO,Travel,Sale,-96.00,
04/07/2025,04/08/2025,WAL-MART #2336,Groceries,Sale,-4.72,
04/07/2025,04/08/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-20.00,
04/07/2025,04/08/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-7.50,
04/06/2025,04/07/2025,APPLE.COM/BILL,Shopping,Sale,-53.11,
04/06/2025,04/07/2025,MBTA-550013231679-6740,Travel,Sale,-2.40,
04/06/2025,04/07/2025,EXXON ENERGY NORTH INC,Gas,Sale,-25.17,
04/05/2025,04/07/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
04/06/2025,04/07/2025,MBTA-550013231679-6740,Travel,Sale,-2.40,
04/04/2025,04/06/2025,American Eagle Outfitters,Shopping,Return,41.21,
04/05/2025,04/06/2025,OLD NAVY US 5309,Shopping,Sale,-33.00,
04/04/2025,04/06/2025,American Eagle Outfitters,Shopping,Return,37.29,
04/04/2025,04/06/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-8.00,
04/04/2025,04/06/2025,THE MARKET,Groceries,Sale,-24.61,
04/02/2025,04/04/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
04/03/2025,04/04/2025,princh.com - Printing,Professional Services,Sale,-0.20,
04/03/2025,04/04/2025,princh.com - Printing,Professional Services,Sale,-0.20,
04/03/2025,04/04/2025,BUILDIUM* BACKGROUND C,Shopping,Sale,-20.00,
04/02/2025,04/03/2025,WWW.PLANNEDPARENTHOOD.,Gifts & Donations,Sale,-52.93,
04/03/2025,04/03/2025,UNCOMMONGOODS,Shopping,Sale,-48.15,
04/03/2025,04/03/2025,BCF Etsy Uplift,Gifts & Donations,Sale,-0.94,
04/03/2025,04/03/2025,ETSY  INC.,Shopping,Sale,-20.06,
03/30/2025,04/02/2025,HOLLISTER CO.,Shopping,Sale,-56.90,
04/01/2025,04/02/2025,PANERA BREAD #203557 O,Food & Drink,Sale,-41.00,
03/31/2025,04/01/2025,USPS PO 2462390360,Shopping,Sale,-11.17,
03/31/2025,04/01/2025,WAL-MART #2336,Groceries,Sale,-105.00,
03/31/2025,04/01/2025,The Paper Store 0072,Shopping,Sale,-77.23,
