Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2024,12/31/2024,WL *Steam Purchase,Entertainment,Sale,-50.00,
12/30/2024,12/31/2024,SUNOCO 8002068401,Gas,Sale,-5.99,
12/30/2024,12/31/2024,ROVER.COM* PET SVCS.,Personal,Sale,-20.00,
12/30/2024,12/31/2024,ETSY  INC.,Shopping,Sale,-26.93,
12/28/2024,12/29/2024,OLD NAVY US 5376,Shopping,Sale,-71.75,
12/23/2024,12/24/2024,PETSMART # 1626,Shopping,Sale,-10.26,
12/22/2024,12/23/2024,APPLE.COM/BILL,Shopping,Sale,-0.99,
12/21/2024,12/23/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-20.00,
12/20/2024,12/22/2024,EXXON ENERGY NORTH INC,Gas,Sale,-29.97,
12/19/2024,12/22/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
12/20/2024,12/22/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
12/19/2024,12/20/2024,WAL-MART #2336,Groceries,Sale,-48.90,
12/18/2024,12/19/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
12/18/2024,12/19/2024,The Paper Store 0072,Shopping,Sale,-42.98,
12/17/2024,12/19/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
12/17/2024,12/18/2024,Subway 49722,Food & Drink,Sale,-28.67,
12/15/2024,12/16/2024,SP THINX.COM,Health & Wellness,Sale,-107.00,
12/13/2024,12/16/2024,OLD NAVY ON-LINE,Shopping,Sale,-30.00,
12/14/2024,12/15/2024,Payment Thank You-Mobile,,Payment,2719.37,
12/14/2024,12/15/2024,WAL-MART #2336,Groceries,Sale,-125.52,
12/14/2024,12/15/2024,APPLE.COM/BILL,Shopping,Sale,-8.49,
12/14/2024,12/15/2024,DOLLAR TREE,Shopping,Sale,-10.63,
12/14/2024,12/15/2024,CRICUT,Shopping,Sale,-0.99,
12/14/2024,12/15/2024,MICHAELS STORES 5728,Shopping,Sale,-40.26,
12/14/2024,12/15/2024,The Paper Store 0072,Shopping,Sale,-40.38,
12/13/2024,12/15/2024,THE MARKET,Groceries,Sale,-29.37,
12/14/2024,12/15/2024,PANERA BREAD #203557 O,Food & Drink,Sale,-39.00,
12/14/2024,12/15/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
12/14/2024,12/15/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
12/13/2024,12/15/2024,EXXON ENERGY NORTH INC,Gas,Sale,-31.10,
12/14/2024,12/15/2024,CRICUT,Shopping,Sale,-0.99,
12/13/2024,12/15/2024,DUNKIN' MOBILE AP,Food & Drink,Sale,-11.00,
12/14/2024,12/15/2024,MARK&amp;GRAHAM.COM,Home,Sale,-153.01,
12/14/2024,12/15/2024,PETSMART # 1355,Shopping,Sale,-35.03,
12/13/2024,12/13/2024,BCF Etsy Uplift,Gifts & Donations,Sale,-0.47,
12/13/2024,12/13/2024,ETSY  INC.,Shopping,Sale,-23.53,
