Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/25/2025,02/27/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
02/26/2025,02/27/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-3.50,
02/26/2025,02/27/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
02/25/2025,02/26/2025,EXXON ENERGY NORTH INC,Gas,Sale,-29.44,
02/22/2025,02/23/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
02/22/2025,02/23/2025,PANERA BREAD #202101 O,Food & Drink,Sale,-19.54,
02/21/2025,02/23/2025,PANERA BREAD #202101 P,Food & Drink,Sale,-4.27,
02/22/2025,02/23/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,
02/21/2025,02/23/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-12.82,
02/21/2025,02/23/2025,WAL-MART #2336,Groceries,Sale,-164.37,
02/22/2025,02/23/2025,WAL-MART #2336,Groceries,Sale,-27.56,
02/19/2025,02/21/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-16.00,
02/19/2025,02/20/2025,SUNOCO 0989179700,Gas,Sale,-9.83,
02/18/2025,02/20/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-17.00,
02/19/2025,02/20/2025,THE MARKET,Groceries,Sale,-19.81,
02/20/2025,02/20/2025,ROVER.COM* PET SVCS.,Personal,Sale,-12.00,
02/15/2025,02/17/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-16.00,
02/14/2025,02/16/2025,WAL-MART #2336,Groceries,Sale,-6.38,
02/14/2025,02/16/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
02/13/2025,02/13/2025,Payment Thank You-Mobile,,Payment,1572.54,
02/12/2025,02/13/2025,THE MARKET,Groceries,Sale,-7.99,
02/11/2025,02/13/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
02/10/2025,02/12/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
02/11/2025,02/12/2025,AUTOZONE #5989,Automotive,Sale,-202.18,
02/11/2025,02/12/2025,Princh  Inc.,Personal,Sale,-0.10,
02/10/2025,02/11/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-2.00,
02/10/2025,02/11/2025,TST*MAMMA MIAS PINE HIL,Food & Drink,Sale,-30.50,
02/09/2025,02/11/2025,SWA*EARLYBRD5264267153846,Travel,Sale,-40.00,
02/08/2025,02/10/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
02/07/2025,02/09/2025,WAL-MART #2336,Groceries,Sale,-68.03,
02/07/2025,02/09/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-4.99,
02/07/2025,02/09/2025,WENDYS,Food & Drink,Sale,-27.16,
02/06/2025,02/07/2025,EB *GALENTINES DAY AT,Personal,Return,25.00,
02/05/2025,02/07/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
02/06/2025,02/06/2025,ROVER.COM* PET SVCS.,Personal,Sale,-66.60,
02/05/2025,02/05/2025,PANERA BREAD #203557 O,Food & Drink,Sale,-42.00,
02/04/2025,02/05/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-3.20,
02/03/2025,02/05/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-2.00,
02/03/2025,02/04/2025,EXXON ENERGY NORTH INC,Gas,Sale,-31.60,
02/02/2025,02/03/2025,WAL-MART #2336,Groceries,Sale,-130.39,
01/31/2025,02/02/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
