Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/28/2025,01/30/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
01/28/2025,01/29/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.51,
01/26/2025,01/28/2025,WAL-MART #2336,Groceries,Sale,-134.75,
01/24/2025,01/26/2025,THRIFT BOOKS GLOBAL  LLC,Shopping,Sale,-56.25,
01/23/2025,01/24/2025,SP TAYLOR SWIFT SHOP,Shopping,Sale,-70.00,
01/21/2025,01/23/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
01/23/2025,01/23/2025,PANERA BREAD #203557 O,Food & Drink,Sale,-38.00,
01/22/2025,01/22/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,
01/21/2025,01/22/2025,EXXON ENERGY NORTH INC,Gas,Sale,-26.24,
01/21/2025,01/22/2025,WALGREENS #7734,Health & Wellness,Sale,-11.61,
01/20/2025,01/21/2025,ETSY  INC.,Shopping,Sale,-2.24,
01/20/2025,01/21/2025,BCF Etsy Uplift,Gifts & Donations,Sale,-0.76,
01/19/2025,01/20/2025,WAL-MART #2336,Groceries,Sale,-143.17,
01/19/2025,01/20/2025,SQ *PLYMOUTH BOOK PARTNER,Shopping,Sale,-19.11,
01/17/2025,01/19/2025,WENDYS,Food & Drink,Sale,-12.94,
01/15/2025,01/16/2025,EB *GALENTINES DAY AT,Personal,Sale,-25.00,
01/14/2025,01/16/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
01/14/2025,01/15/2025,EXXON ENERGY NORTH INC,Gas,Sale,-26.87,
01/13/2025,01/14/2025,SHARKNINJA,Home,Sale,-73.73,
01/13/2025,01/13/2025,Payment Thank You-Mobile,,Payment,1583.34,
01/12/2025,01/13/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-20.00,
01/12/2025,01/13/2025,ETSY  INC.,Shopping,Sale,-32.32,
01/12/2025,01/13/2025,WAL-MART #2336,Groceries,Sale,-162.30,
01/10/2025,01/12/2025,Princh  Inc.,Personal,Sale,-0.50,
01/10/2025,01/12/2025,Princh  Inc.,Personal,Sale,-0.50,
01/08/2025,01/10/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
01/08/2025,01/10/2025,FIVE GUYS MA 1919 QSR,Food & Drink,Sale,-12.82,
01/07/2025,01/09/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
01/08/2025,01/09/2025,CVS/PHARMACY #02138,Health & Wellness,Sale,-82.84,
01/07/2025,01/08/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.35,
01/07/2025,01/08/2025,SP LASHNEXTDOOR,Shopping,Sale,-35.00,
01/05/2025,01/06/2025,TARGET        00014951,Shopping,Sale,-231.87,
01/04/2025,01/05/2025,PANERA BREAD #202101 P,Food & Drink,Return,4.27,
01/05/2025,01/05/2025,PANERA BREAD #202101 O,Food & Drink,Sale,-18.69,
12/31/2024,01/01/2025,UNCOMMONGOODS,Shopping,Sale,-75.83,
12/30/2024,01/01/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
