Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/30/2025,03/31/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
03/31/2025,03/31/2025,BOOM LEARNING INC,Education,Sale,-3.72,
03/29/2025,03/30/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-15.00,
03/27/2025,03/30/2025,HOLLISTER CO.,Shopping,Sale,-27.81,
03/29/2025,03/30/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
03/28/2025,03/30/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
03/28/2025,03/30/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-2.00,
03/28/2025,03/30/2025,PANERA BREAD #202101 K,Food & Drink,Sale,-39.83,
03/29/2025,03/30/2025,DUNKIN #332744,Food & Drink,Sale,-8.34,
03/27/2025,03/30/2025,HOLLISTER CO.,Shopping,Sale,-101.94,
03/28/2025,03/30/2025,EXXON ENERGY NORTH INC,Gas,Sale,-30.83,
03/27/2025,03/30/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-5.00,
03/26/2025,03/28/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
03/25/2025,03/26/2025,TST*CAFE MILANO,Food & Drink,Sale,-8.52,
03/24/2025,03/25/2025,GoFundMe Funeral Support,Gifts & Donations,Sale,-22.00,
03/22/2025,03/25/2025,OLD NAVY ON-LINE,Shopping,Return,25.02,
03/23/2025,03/25/2025,ULTA #289,Shopping,Sale,-98.82,
03/23/2025,03/24/2025,PETCO 1849,Shopping,Sale,-29.93,
03/23/2025,03/24/2025,WAL-MART #2336,Groceries,Sale,-70.00,
03/20/2025,03/23/2025,WENDYS,Food & Drink,Sale,-38.79,
03/22/2025,03/23/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,
03/20/2025,03/23/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
03/22/2025,03/23/2025,PANERA BREAD #202101 K,Food & Drink,Sale,-43.89,
03/21/2025,03/23/2025,American Eagle Outfitters,Shopping,Sale,-57.29,
03/20/2025,03/21/2025,EXXON ENERGY NORTH INC,Gas,Sale,-28.77,
03/19/2025,03/20/2025,CHARLES DAVID - PINEHILLS,Personal,Sale,-66.00,
03/19/2025,03/20/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-20.00,
03/19/2025,03/20/2025,American Eagle Outfitters,Shopping,Sale,-82.42,
03/15/2025,03/18/2025,OLD NAVY ON-LINE,Shopping,Return,13.47,
03/17/2025,03/18/2025,SP TAYLOR SWIFT SHOP,Shopping,Sale,-60.00,
03/17/2025,03/18/2025,THE MARKET,Groceries,Sale,-9.48,
03/15/2025,03/17/2025,FIVE BELOW 8156,Shopping,Sale,-6.31,
03/15/2025,03/16/2025,WAL-MART #2336,Groceries,Sale,-69.00,
03/15/2025,03/16/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
03/13/2025,03/16/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-2.00,
03/15/2025,03/16/2025,OLD NAVY US 5309,Shopping,Sale,-66.77,
03/14/2025,03/14/2025,Payment Thank You-Mobile,,Payment,1490.34,
03/13/2025,03/14/2025,EXXON ENERGY NORTH INC,Gas,Sale,-32.60,
03/09/2025,03/11/2025,OLD NAVY ON-LINE,Shopping,Sale,-66.96,
03/10/2025,03/11/2025,WAL-MART #2336,Groceries,Sale,-7.00,
03/10/2025,03/11/2025,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
03/10/2025,03/11/2025,ROVER.COM* PET SVCS.,Personal,Sale,-3.60,
03/10/2025,03/11/2025,WAL-MART #2336,Groceries,Sale,-35.00,
03/09/2025,03/10/2025,MCDONALD'S F35425,Food & Drink,Sale,-9.61,
03/10/2025,03/10/2025,PANERA BREAD #203557 O,Food & Drink,Sale,-41.00,
03/09/2025,03/10/2025,DFW CNBC,Shopping,Sale,-7.56,
03/06/2025,03/09/2025,STARBUCKS STORE 11849,Food & Drink,Sale,-21.42,
03/07/2025,03/09/2025,DUNKIN #308352 Q35,Food & Drink,Sale,-20.53,
03/06/2025,03/09/2025,TST*F1 ARCADE - BOSTON,Food & Drink,Sale,-58.00,
03/07/2025,03/09/2025,WESTIN (WESTIN HOTELS),Travel,Sale,-34.94,
03/06/2025,03/07/2025,WAL-MART #2336,Groceries,Sale,-47.00,
03/05/2025,03/07/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
03/06/2025,03/07/2025,MBTA-550013231679-6740,Travel,Sale,-2.40,
03/05/2025,03/07/2025,WENDYS,Food & Drink,Sale,-13.04,
03/04/2025,03/06/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-10.00,
03/04/2025,03/06/2025,DUNKIN' MOBILE AP,Food & Drink,Sale,-3.00,
03/04/2025,03/05/2025,P&amp;B BUS CO,Travel,Sale,-134.40,
03/05/2025,03/05/2025,CONVENIENTMD,Health & Wellness,Sale,-100.00,
03/04/2025,03/05/2025,EXXON ENERGY NORTH INC,Gas,Sale,-29.08,
03/04/2025,03/05/2025,PLYMOUTH MA EXCISE TAX,Bills & Utilities,Sale,-59.05,
03/04/2025,03/04/2025,ICI*FEEPLYMOUTHMA,Bills & Utilities,Sale,-1.74,
03/03/2025,03/04/2025,TEACHERSPAYTEACHERS.COM,Entertainment,Sale,-3.00,
03/02/2025,03/03/2025,INTUIT *TURBOTAX,Shopping,Sale,-51.00,
03/02/2025,03/03/2025,WAL-MART #2336,Groceries,Sale,-137.00,
03/01/2025,03/03/2025,DSW VILLAGE AT COLONY PLA,Shopping,Sale,-38.00,
02/28/2025,03/02/2025,ROVER.COM* PET SVCS.,Personal,Sale,-19.98,
03/01/2025,03/02/2025,PANERA BREAD #202101 K,Food & Drink,Sale,-34.93,
03/01/2025,03/02/2025,MACYS  INDEPENDENCE,Shopping,Sale,-43.60,
